Artist_001_npcName, Púbol
Artist_001_dialogue_common_intro_0_text, Hola\, estoy en la lona bro
Artist_001_dialogue_common_intro_0_options_0, ¿Qué te pasó?
Artist_001_dialogue_common_intro_0_options_1, Mejor así
Artist_001_dialogue_common_intro_1_text, Cuando me morí me juzgaron los demonios y terminé acá. Si pudiera probar mi profesión podría ir a un mejor lugar\, uno con cangrejos.
Artist_001_dialogue_common_intro_1_options_0, ¿Cómo puedo ayudarte?
Artist_001_dialogue_common_intro_2_text, Necesito un lienzo y un par de cosas más para demostrar mi profesión. Fui un gran artista
Artist_001_dialogue_common_intro_2_options_0, Te voy a ayudar
Artist_001_dialogue_common_intro_2_options_1, Hay una tienda artística acá al lado
Artist_001_dialogue_common_intro_3_text, Ehm\, no puedo moverme viejo\, alguien se podría robar mi caja de cartón. Además no tengo plata
Artist_001_dialogue_common_intro_3_options_0, Pero podés intentar ir ahí y ver qué onda\, está re cerca
Artist_001_dialogue_common_intro_3_options_1, Bueno\, te ayudo
Artist_001_dialogue_common_intro_4_text, No padre\, nada de ver qué onda\, ya te dije que no puedo dejar mi caja
Artist_001_dialogue_common_intro_4_options_0, Pero es una caja\, no tiene nada de especial. Además tenés un montón
Artist_001_dialogue_common_intro_5_text, Para mí esta es especial\, además no sabés si no tiene nada adentro... algo como... un cangrejo.
Artist_001_dialogue_common_intro_5_options_0, Pero en este círculo del infierno no hay cangrejos ...no?
Artist_001_dialogue_common_intro_6_text, Hablamos demasiado\, conseguime el lienzo y la seguimos.
Artist_001_dialogue_common_intro_6_options_0, Bueno\, ta bien
Artist_001_dialogue_quest_0_ongoing_0_text, No parece que tengas el lienzo que te pedí.
Artist_001_dialogue_quest_0_ongoing_0_options_0, No todavia
Artist_001_dialogue_quest_0_completed_some_0_text, Gracias por el lienzo! estoy muy feliz. Necesito ayuda con un par de cosas más y voy a poder probar mi profesión
Artist_001_dialogue_quest_0_completed_some_0_options_0, Te ayudo
Artist_001_dialogue_quest_0_completed_some_0_options_1, Ehm\, está bien supongo
Artist_001_dialogue_quest_0_completed_some_1_text, Necesito un pincel para pintar sobre el lienzo\, pero que no sea de marta Kolinsky\, nada de pelo de hurón\, comadreja o armiño
Artist_001_dialogue_quest_0_completed_some_1_options_0, Entiendo el dilema ético sobre crueldad animal que implican esos pinceles
Artist_001_dialogue_quest_0_completed_some_1_options_1, Esto se puso raro pero está bien
Artist_001_dialogue_quest_1_ongoing_0_text, No parece que tengas el pincel que te pedí.
Artist_001_dialogue_quest_1_ongoing_0_options_0, No todavia
Artist_001_dialogue_common_completed_all_0_text, Gracias por completar todas mis tareas
Artist_001_dialogue_common_completed_all_0_options_0, OK
Artist_001_dialogue_common_completed_all_first_0_text, Hasta acá llegamos con la demo\, gracias por ayudarme.
Artist_001_dialogue_common_completed_all_first_0_options_0, Ok
item_0_item_name, Manzana
item_1_item_name, Naranja
item_2_item_name, Manzana Mágica
item_3_item_name, Lienzo
item_4_item_name, Ramas
item_5_item_name, Sábana
item_6_item_name, Pincel
item_7_item_name, Pluma
item_8_item_name, Caña de pescar
Judge_001_npcName, Juez Esqueletal
Judge_001_dialogue_common_intro_0_text, Hola Maki\, bienvenido al último círculo del infierno. Desafortunadamente terminaste acá\, pero podemos hacer un trato si te parece.
Judge_001_dialogue_common_intro_0_options_0, ¿Por qué el último círculo del infierno?
Judge_001_dialogue_common_intro_0_options_1, Sí\, de una a lo del trato
Judge_001_dialogue_common_intro_1_text, Porque fuiste muy malo\, qué se yo. Yo no tomo estas decisiones. En los otros círculos hay cangrejos. En este no.
Judge_001_dialogue_common_intro_1_options_0, ¿Pero son importantes los cangrejos? no sé qué hacer con esa información
Judge_001_dialogue_common_intro_1_options_1, Suficiente\, contame del trato
Judge_001_dialogue_common_intro_2_text, El trato consiste en que ayudes a otros esqueletos a demostrar su profesión. Si lo hacés te puedo pasar a un infierno más copado\, con cangrejos.
Judge_001_dialogue_common_intro_2_options_0, ¿Cómo hago?
Judge_001_dialogue_common_intro_2_options_1, Uhh\, contame sobre los cangrejos
Judge_001_dialogue_common_intro_3_text, O sea\, los cangrejos son parte de la comida de muchos animales: Muchos otros animales comen cangrejos. Si no hubiera cangrejos\, estos animales tendrían menos comida.
Judge_001_dialogue_common_intro_3_options_0, Más información sobre cangrejos por favor
Judge_001_dialogue_common_intro_4_text, Los cangrejos también ayudan a limpiar el agua\, construyen casas en la tierra y hacen agujeros en la arena. Esto crea hogares para otros animales pequeños. 
Judge_001_dialogue_common_intro_4_options_0, MÁS INFORMACIÓN SOBRE CANGREJOS Y SU IMPORTANCIA
Judge_001_dialogue_common_intro_5_text, Por último nos pueden decir si el agua está limpia o sucia: Algunos cangrejos solo pueden vivir en agua limpia. Si encontramos muchos cangrejos en un lugar\, significa que el agua está sana.
Judge_001_dialogue_common_intro_5_options_0, Creo que ya tuve suficiente\, ahora hablame del trato
Judge_001_dialogue_common_intro_6_text, Busca un esqueleto por la calle y hablale\, seguramente te va a decir qué necesita y cómo lo podes ayudar
Judge_001_dialogue_common_intro_6_options_0, Perfecto\, gg
Judge_001_dialogue_common_intro_7_text, Busca un esqueleto por la calle y hablale\, seguramente te va a decir qué necesita y cómo lo podes ayudar
Judge_001_dialogue_common_intro_7_options_0, Basado en la información sobre cangrejos que obtuve\, parece un buen trato
Judge_001_dialogue_common_intro_7_options_1, Basado en la información sobre cangrejos que obtuve\, no parece un buen trato.
quest_0_quest_name, Find a canvas
quest_1_quest_name, Find a paintbrush
Shop_001_npcName, Vendedor de libreria artistica
Shop_001_dialogue_common_intro_0_text, Bienvenido\, ¿qué se le ofrece?
Shop_001_dialogue_common_intro_0_options_0, Estoy mirando
Shop_001_dialogue_common_intro_0_options_1, Nada por el momento
Shop_001_dialogue_common_intro_1_text, ¿Hay algo con lo que lo pueda ayudar?
Shop_001_dialogue_common_intro_1_options_0, Es posible
Shop_001_dialogue_common_intro_1_options_1, No realmente
Shop_001_dialogue_common_intro_2_text, ¿Puede especificarme acerca de los atributos físicos y/o conceptuales de lo que está buscando?
Shop_001_dialogue_common_intro_2_options_0, Podría... si quisiera
Shop_001_dialogue_common_intro_2_options_1, No realmente
Shop_001_dialogue_common_intro_3_text, Entiendo... este algo que busca\, ¿existe en el plano de la realidad?
Shop_001_dialogue_common_intro_3_options_0, La existencia es relativa
Shop_001_dialogue_common_intro_3_options_1, No realmente
Shop_001_dialogue_common_intro_4_text, Este algo que busca\, ¿tiene que ver con cangrejos?
Shop_001_dialogue_common_intro_4_options_0, Existe la posibilidad de que sí tenga que ver con cangrejos...
Shop_001_dialogue_common_intro_4_options_1, No señor
Shop_001_dialogue_common_intro_5_text, Usted sabe que no hay cangrejos en este círculo del infierno... y no puedo ayudarlo si eso es lo que busca. A menos que... tenga mucho dinero.
Shop_001_dialogue_common_intro_5_options_0, No tengo mucho dinero.
Shop_001_dialogue_common_intro_6_text, En ese caso\, le pido por favor que se retire de mi tienda\, tengo cosas que hacer.
Shop_001_dialogue_common_intro_6_options_0, Entiendo
Shop_001_dialogue_quest_1_ongoing_0_text, Veo que lo pudo ayudar al otro esqueleto\, es usted un buen esqueleto\, para estar en el último círculo del infierno. Donde no hay cangrejos.
Shop_001_dialogue_quest_1_ongoing_0_options_0, Claro
Shop_001_dialogue_common_quest_ongoing_0_text, Parece que está ocupado en este momento
Shop_001_dialogue_common_quest_ongoing_0_options_0, Tiene razón.
Shop_001_dialogue_quest_0_ongoing_0_text, Bienvenido a mi tienda\, ¿cómo puedo ayudarlo?
Shop_001_dialogue_quest_0_ongoing_0_options_0, Necesito un lienzo\, ¿tiene lienzos? Un lienzo es la única ayuda que necesito.
Shop_001_dialogue_quest_0_ongoing_0_options_1, No puede ayudarme.
Shop_001_dialogue_quest_0_ongoing_1_text, Seguro mi mejor lienzo mide 160x160cm\, tan solo 3500 democoins
Shop_001_dialogue_quest_0_ongoing_1_options_0, Eso es demasiado dinero
Shop_001_dialogue_quest_0_ongoing_2_text, Tengo uno más barato de 120x120cm! solo 3000 democoins.
Shop_001_dialogue_quest_0_ongoing_2_options_0, No me alcanza
Shop_001_dialogue_quest_0_ongoing_3_text, Hmm\, tengo uno de 30x30cm\, por 500 democoins.
Shop_001_dialogue_quest_0_ongoing_3_options_0, Ehh... no tengo tantas democoins
Shop_001_dialogue_quest_0_ongoing_4_text, Uff\, tiempos de inflación\, lo entiendo\, no se preocupe. Tengo un lienzo nanoscópico\, de 1x1nm\, a solo 0.1367 democoins.
Shop_001_dialogue_quest_0_ongoing_4_options_0, ¿Acaso parezco estar hecho de dinero?
Shop_001_dialogue_quest_0_ongoing_5_text, Bueno señor\, parece no conocer el concepto de dinero. Le puedo sugerir que en ese caso busque unas ramas y robe una sábana para hacer su propio lienzo\, no puedo ayudarlo si no entiende que los bienes y servicios se intercambian por bonos respaldados por el estado.
Shop_001_dialogue_quest_0_ongoing_5_options_0, Me parece una buena opción
ui_quest_ongoing, Tarea:
ui_quest_none, No hay tareas por el momento
ui_quest_completed, Tarea completada!
ui_items_combination, Algunos objetos se pueden combinar
ui_tooltip_1, Algunos objetos se combinan presionando J
ui_tooltip_2, Podes separar tu cabeza utilizando E y controlarla con el pad numerico
ui_start_game, Start
ui_load_game, Load
ui_options, Options
ui_exit, Exit
ui_back_to_menu, Back to menu
ui_savegame, Save
ui_savegame_completed, Percentage completed: 
ui_savegame_delete_prompt, Are you sure you want to delete this savegame?
ui_savegame_delete_yes, Yes, delete this savegame
ui_savegame_delete_no, No
ui_savegame_delete_button, Delete Save
ui_player_dead, You have died, press R to Respawn
ui_platform_switch, Press T to Turn on the platform switch
